"recipient","value"
"16QnE3JdnLynb1fPxZ18pLNDfTcjTQMRAj",5000000
"1Jqy7FbFnUbKm3JGaDJfeMVDgqqP8WWXZM",5000000
"1nTZLJTqzq1kzYcMov48CMXUWnTCkLQbp",5000000
"19oMiMRtQjheqjs19cPQUzwp1S6718dSP6",5000000000
"1GcRgEzqeZspKDwTm6hTQqhQFZCsDDSJ8B",5000000
"1QBMmD24baHgusrqUSXc9s1uALtHeuJsjK",5000000
"18LEBQhGMvFh8MwomgqgiwHr1PbCafks24",5000000
"1Px8AnQD4cXERHkyVyZsFDRYga6EbuUxZK",5000000
"19RLTiuYSPGH12vQ7eDPuBSDdG3tZy7oey",25000000
"1LM4qK2FfbjMCuYsEzfxYPGEm4XtiKr68u",10000000
"1Mqt5yBzg6gA9LnRwwkMtoA9iuua39YnDR",5000000
"15daQG5hDF7pNjLF3T3iYXwNX3m3keAdrp",5000000000
"1GSJrJoTteZx63rNzx5rLePfVa2DjE4KwB",5000000
"1J3aW2ouGK7UjgjHpzyZcjVCWErHtBsfAV",5000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",1000000
"1GpJ5cocBFgZfEbBzSbJzokrG7UwHazwhU",5000000
"19DR69gZAzg4oaaK4hTu8Asecae8ee6dbs",5000000
"16jRQK9zLRtxxyo6ge14C7CEgxfvupMpCF",5000000000
"1FCfY4UtfawgQbmvuXNodoraajuD4DF31Y",5000000
"1CEE1MaQR5YXDjXiJaxG9aux89Gra7YdcU",5000000
"1D3deJssb3pbERz98Q55BZVDZdCqAqSGVc",50000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",42000000
"1CoLsrHr9u56c48Fh4czZcPcghBSDJrf3x",5000000
"15WXpVKuhq7HWJsDYqNsdEnwLZrYpSU7Rb",5000000000
"1AfaYJ7LvdUerCBiEqgry7XKdGi9APNnGx",5000000
"1Huzn3jBgy7YAZ1YWKX8TZP4cBFqnWbV4Q",103000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",103000000
"1FTpzzF2EwUs4UvFi2xDKmKLQm72yabowH",5000000
"1KL79nBVeuP9caoxUrCGsP4pnNJ6MioSxP",5000000
"1BRCDD9gfyPLUYN3N5o9MJN8zdAXRAGzGC",5000000
"1KCxsb52TSRF87Rg5GGcBESjDTn5xNwx6g",5000000
"1QGpaoYGbSmhM3PGhAbkZaPXYb55KJGQMf",2000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",59000000
"1CCdGCXC9onYxP4UZ8gAiht9JgeefPN3ro",2000000
"1HfcnmzPUwwzYHjuWez2CtumteVL2KX3SQ",5000000
"1Q8MRrgjdEebkMsyLXgmwcQCAVwc6qbw4C",4000000
"15XdcefPDzkZvUPRF2L2fFFmAF8dt2z22N",5000000
"1B4qZ1ds1vieCnLjxDCr4ma9BWyv9bPUEP",5000000
"16Zm5tAzJUAnjK8BQaYXqtTfnx4iiFxDrr",5000000
"1GPsGXM46offUsgbBRFCCLFMsFCuQyNDe9",10000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",215000000
"1Efs2sWQ7R3sr4BJrG3pibGSLcC6nctE39",5000000
"1KexV8rcnovtNS2Jv5f8LKsSVJYneJHkWx",5000000000
"1BjD3PgBrqaZLa19iM7RuaUr9s3gJmkQpa",5000000
"1Jwxu9UPg9AnmJmjCkwmMv1w513ZvYU9wU",5000000
"1EEU3hgJg72VUr8TnBXftCKZGaYQn2qi6C",5000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",53000000
"1AXV4NuoBXyfwCVMSHFnfgpvJ5oj6ciWq4",3000000
"1Px8AnQD4cXERHkyVyZsFDRYga6EbuUxZK",5000000
"1LSSP2Xd5sJxVFhpz8ShiNPJvjNvHuqu7p",5000000
"1D3deJssb3pbERz98Q55BZVDZdCqAqSGVc",55000000
"1GPsGXM46offUsgbBRFCCLFMsFCuQyNDe9",5000000
"196nwoMBxDLTcyoAjdJBUxSntemfKWxUNG",5000000
"1QAK8umyYAdhH1sFgiQGxFx2tjiUgj5N1a",40000000
"19krJ9WebvAdc9dcCtsi8i4A8194VxRUVJ",120000000
"1FSVNLzxAXvqk6oxDB9z5zhoarLHbGiaqa",10000000
"1LHQLzsXiqfiHKpKR3LnnmV9TMuCeLoDVe",5000000
"1KvmschA64FsrEikAbWYMT1pc6keeJA33F",30000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",7000000
"1N7KqKymb3ZPghNTHWPZTaFBxJw51JaJsa",5000000
"18CzdG8X3rXZSxAkSsEEqYQk1x9MEnsUCd",5000000
"18eShiFbzKsSfkq44d34T3KCGoXJKA9Wcj",5000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",14000000
"1Dun29JFfbh6Vj28LpiHBqksZ8s772Mt6P",5000000
"1LhS3HZZJDTbwN6Wso7bP5wq68r9jHGyW9",10000000
"1N5RMisE6U4Ui9iuxySdiZZACRvZXvYmQg",1000000
"1BARVLLveYdT7QFas8A2WJtnfkpeTTTavN",3000000
"1N6md4XYVbHsadGS7Dx94E7W6RpWwYJ17L",2000000
"1F4CWhf7CFsFz4bSdcViJCQaFf7pi95qCD",5000000000
"15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w",2000000
"18D8kNASSfFuLqFJHaEQPjXtZrk9fd2nHd",5000000
"1P2tTtPabNuPKv4nMmzCMCLUms7s5zFKB5",5000000
"15XZ56bmKQkzaw9dd463aGJuxHx2ktzKGe",3000000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",116000000
"1NyRLe6QhmX8AK1rjEkFD26zbkHdDAKCsD",109000000
"1KVMqsNcUG7H6hCbTTbH7ayeQccUtf258m",5000000
"1QGpaoYGbSmhM3PGhAbkZaPXYb55KJGQMf",1000000
"15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w",5000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",17000000
"1N5RMisE6U4Ui9iuxySdiZZACRvZXvYmQg",5000000
"1LU4moHAqvWDWQtNPZxQywPJTkq9birz6i",5000000
"15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w",1000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",1000000
"15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w",1000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",1000000
"1NyshoKEbJ3RFMGtgSyX9RD5Me1L6hFex",5000000
"15QYRe8B9VvRK9NUL114ABSbkza2CzjVV9",5000000
"1CUcwh77Z8DBK4XwzhH8pf71qTd6yjMfit",1000000
"15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w",1000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",4000000
"16CCWsP5vTGvgWwJNJQR54VyL4WMYwfvbt",5000000
"1CUcwh77Z8DBK4XwzhH8pf71qTd6yjMfit",1000000
"15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w",2000000
"16NBkeBP74exh8QAizL23yQYn9Kchrzn19",208000000
"1K8jGnnv72dA4QJvHLpHmUrhCCGP3hSwDd",169000000
"1BhKXze4B8ypi4FzfMs8VwKc3BjngWU8oB",1000000
"1FuAayaSdBPC47WdsXdkyEAMnJqmsS5aWr",20000000
"1K8jGnnv72dA4QJvHLpHmUrhCCGP3hSwDd",139000000
"15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w",1000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",4000000
"13NwQxM5Pkxaf6JkhFHvyFSz3wQH4bwvks",280097780
"1K8jGnnv72dA4QJvHLpHmUrhCCGP3hSwDd",182000000
"1Huzn3jBgy7YAZ1YWKX8TZP4cBFqnWbV4Q",100000000
"1HVatXUrTYpxDZPN3RxTcb41msQbqkVWbi",5000000
"1367SyEUNDXMLGaQYy99BnvqoumYFFfgdi",5000000000
"1GAB8xX7Dd3BXMTZhXXQoTbbETdfpCJmQZ",30000000
"1HU5pXhFWopwXYGZdAUL3chBPF17AMyj79",5000000
"1Px8AnQD4cXERHkyVyZsFDRYga6EbuUxZK",5000000
"1A6BThEJAcUcKmpfDFHKFHkzcNjTfxgqmQ",5000000000
"1K1tahf5ELLMXUAf8FhUZrvbUNWZrSJ1S",1000000
"18DfCGjiEfj8azDdD6FYZ4RhFaknc4tqkm",31000000
"1HU5pXhFWopwXYGZdAUL3chBPF17AMyj79",5000000
"1CUcwh77Z8DBK4XwzhH8pf71qTd6yjMfit",1000000
"1K1tahf5ELLMXUAf8FhUZrvbUNWZrSJ1S",1000000
"1ZhKkzRLLfpNGNHf8qDDH7uRZtaMue7tR",1000000
"1FpMVaA5rfWBwpeivvnrJNeVPAfB9Ghusm",5000000000
"15nzNkGf1P9vnHuo9qfjHY9JW5hwxxdM7w",2000000
"1EM7FJV7L3CJZuH6SFTpYnmbMi9RXKdwK6",105000000
"1K8jGnnv72dA4QJvHLpHmUrhCCGP3hSwDd",173000000
"12sV3ZuzSCKehwRXLxvCiNLcvxdGiqbYe6",1000000
"1F9haw4TRdATc2Gj9pM4PZmiScRouXMeUd",4000000
"1HdRpSvC6BEF9wsFkdHsweCjhR9kiLScrv",5000000000
"1K2maMYUiqP8PmwCykFkCGDgambw9mYknV",5000000
"18uFtgP8YwHUDq4daEEjqNXZKm1ehGEiUz",9000000
"13yH6KGMoWtUQ7GADihnDqyeYDbtrqa4ev",1000000
