"recipient","value"
"1CH6MnWRU2pN2BYMMydZYaySNcsegRuazF",12111063
"1PHvtAhqmqzjrL8ETW6SPpfbgzx1Ce2Gid",5000000
"193oaQimctyUMV4XZHRE2mjd6rMkCWwhcP",8000
"1KkKSLDJdcPfiMShPw7FmwuiKxr5oDQS4W",8000
"1Lr8rLSheGMm5pBh1hvJ9PR4CLnp6Tf1Be",8000
"15GSgwy53ZPJyjdskY2obN7fZQ3qT3mLsE",8000
"1LdRyfUed5HEsaA4H6NrqECN4LDTMmEeaU",32000
"1DT4HbNaVeDFDgQMzNPfu52B23LMEJ3nDn",8000
"1GU8wc7KtFF1ToC3vgfkRmKrWMwKH8RYFY",8000
"1NWahm8rmcRceVXKazK8Kq1p9sooHNj35s",8000
"1PpKWpy4VRYN9tzUpE5QzUTCkhKJV9fQV6",8000
"1DKWgEZFcw34DEKhSd78NReXF1yqs5HRta",16000
"1KJfrwiCC4rGza7ZgMuyTBA7simUhbZFLY",1
"1Nq7Z2Ge32puEpDdZaAHVvrcee6Xucpb7t",1
"1ALzKatg6uDNbkBj9gdtkG6VHsfJ2SiCC2",1
"19fwvTpX1zxmJG51VnSxbRv97H7PNX2BLT",1
"1sSzjV6nZ4tBowwGWKTrAMxMai4Xh4pEy",6593
"1Q3x1rrr7j7pBBxADafHPSiEnBKX61PAwM",25126
"1PpKWpy4VRYN9tzUpE5QzUTCkhKJV9fQV6",8948
"1PFZtRUFRUe1VKzUT6EMuMWWgnkMZigtnZ",13807
"1NK3wvyq7NcvMQQacCEETz917dDHSFTvLX",11303
"1MfwqVwL6rBayhGT7HVufEZagu2B8KQDLT",11303
"1Me97MBVHYLp8xLsN32Df8sjDdCFhi6SuT",6122
"1MaTE9kXDC8F6aVhy8rKq5Nuf4h7nbdhqF",8006
"1LoJNvvvWrJZYpjrWwKSUTSHBJVH5qohqF",6122
"1Ktz7mYf4DtWydo7jbhBUkAZHSCiELyrMn",9890
"1KRj4F3XXb5JsgrWgSApfPaX8vqX643ueY",19975
"1JYELMiLBZ69sNdGnYjB8hagFopNhGNMUm",11774
"1JkrqeDR2Li9xPZeeLA6gRA5LBWDjPb2is",8948
"1J9PvxfTZBzdrzbyjq2EK8DAThhbPAPQYD",6122
"1HVuAQhLuSymoXWbwM66CHnEcnhiVRmFPp",6593
"1Ht1UGepfmbRC5uyKN5mJrkSHBhhEUr5JZ",8477
"1HQG2m9Jv5BfQFVNZQp4cA2D7pdvhLgrf4",6593
"1H6A6uCbo1xVYcQBEfD7H2EPWAs9te9jGA",10361
"1GPuQYE72iA9icBrVJ3X9CmScX8DCHvV9w",7064
"1G4Myca2voU4Kx8Ca3jzRbM8wKBTKDNu39",6122
"1FXhowEKJPrKfmXPM37Y1rNARFz7Mc1v1y",8948
"1EqUiHWtgf9nHXLsYetrYtZsqm95RrTGts",10832
"1E6c7F7JnU5aV3x7oSdAPJomABAC1X8CAm",10361
"1DyiqWFkPrasBwditPxZvu8eJf8KNiEM9V",10361
"1BxJE9CvfbGgse3xqTUmKh3oj6tn2SQVrg",6122
"1BH1JtvdhQCWF74DKKbdL8bC8A6sbV3g7v",7535
"1AZMmCPVtG3xXn5i93frM6fpGv38vFG75A",6593
"1ASymG2PYbRn7oqdswuBK9mmDrhBegaHkb",7064
"1AR5zns7hu5w9RiNEMoU5zJ8enM4hQgQ86",7535
"1Aqdp4gVij2pbE6Ech1TgRH8d1659Z78pM",8477
"1AQcUVFBxPvKMRnULrUTnoHRDbyyJ9biz8",4710
"1ADhdrr2MfP6BEKxGPFtoUG7btYCdLsKys",6122
"18Wm8Zz2LsAE5bPMUgrFZKKWuzCmAftruh",5181
"18iEhuUaz5F19PFLFN3uFZERxYnAmebvt2",10705
"18F6dWfYFPprGTr969TRnkKFkwyymsC7CD",8948
"17ZjE5FL8CP44oc9LSPvdSJjDiM58oWVFf",6593
"17LJBvgo53mdc1UPmJrs6zuDDurHPtyEKy",6122
"17KsRgQA39NeGW81n7YRAkV4RtWDU1n7yK",7064
"175uErU45dtvVF1nZ94CtN4qhvqCYRnXNc",11303
"161bPmaEvcCbAXp7io9rd236cB8SG8kuNF",10361
"15PMuHP76pbV4kQsSgXbNdstnkyPSf4Ds9",8477
"15nf6n6fTWGqe2entG7tFjC4YULXpdvjT9",11303
"14NoauUZASANfmpzbBEd945EiWyxh9fhoC",9419
"14E86vypfTwLmbDPvPccUWcowdHWuXeHkm",16162
"14cAc9rBETbWAunSDGn1RabR275NgMg3o8",9419
"13WwoFPN94Xw9AnSEbfYb1iCEmcc9jjdAe",6593
"13RDSK8Qt9vSgxoeNzmoggFS35KHyahpBu",9419
"13LhzmEXALMsGEjjhrh2n27WThUCx4bGya",9419
"13keXtZ2nECL18KCvb9UsNhDePcwKgsDyw",8006
"127ASTqvBMujuGWkHjUSu9a1pLJhRKLnuB",10361
"1FVUXx9BxBfw14LJJmdnxJeCZeNavG5afF",8000
"1KkKSLDJdcPfiMShPw7FmwuiKxr5oDQS4W",8000
"1ASymG2PYbRn7oqdswuBK9mmDrhBegaHkb",32000
"1DyFQEDDvjpzYDQbLee4FjFCMbWPtYrnzS",32000
"1J9PvxfTZBzdrzbyjq2EK8DAThhbPAPQYD",16000
"1NWahm8rmcRceVXKazK8Kq1p9sooHNj35s",8000
"1LdRyfUed5HEsaA4H6NrqECN4LDTMmEeaU",32000
"1FVUXx9BxBfw14LJJmdnxJeCZeNavG5afF",8000
"1ASymG2PYbRn7oqdswuBK9mmDrhBegaHkb",40000
"1KkKSLDJdcPfiMShPw7FmwuiKxr5oDQS4W",8000
"1JRYSnwGrwzqBekTcNqLB5ZXRyWqXvdEEz",8000
"17bq1qp5B7LZfZ8JMUCo3aypcvD1jYUCVK",8000
"1PpKWpy4VRYN9tzUpE5QzUTCkhKJV9fQV6",8000
"1BBVjXTpuzQsfpEsi38K9aqSKyX3kmgK1Z",1
"1FSfuXPFjxGK68ixbzA4twmsLcufYR2j3C",1
"1PLMnaDXfXPrMYvBy94w2C6NW9HjBnpKjJ",1
"1PLMnaDXfXPrMYvBy94w2C6NW9HjBnpKjJ",1
"1PLMnaDXfXPrMYvBy94w2C6NW9HjBnpKjJ",1
"1XZVcAYVSytwTejzpntu8fAqrd57kDFWL",1
"19QnRc9wVmAu6PCcuQafeDkXfZnGF4Pitc",1
"18cV9NbJyVjMNRe5Q2kssMUGSDnkzevbEn",1
"1DJnhcY78qm9c9rUGh7v5TZzGH1CaGJgQr",1
"1CkarZotbWexn28nNRJAFztL8KFkPVn78T",1
"16ePxiB5ofCyePLYnoWgcxqy5kreYxP9YA",1
"1AxCofCTgTsGXx474Rdce7dF27VPArNzQi",1
"1LeF9Nyv7tYTGrJomeV2pNLQCnkUo5HsiB",1
"1NfkryPimHRUg2kDCutpQvVe7EWK6pWYwW",11000000
"13heBnRKC21ooHzduvWjm8iBirk4BDUM4H",210000
"17wQF7xqpYQvgVQMYVB5tHXF79hjMdF5fk",1000000
"1PQVpuv4cKzcaUf1hpLgeLWcHvWkd5W1Hh",13000000
"1PymqNbsnZHukGEB7SAKdYxFtTFECnubyp",16000000
"1BJf39deVoedZCgHBezf3ctva3SfQzJnET",1000000
"1FdEuNLKjFn5yoUsyWgpTXF337TnQR5Yqq",7000000
"1CoSsDnHxJm5GtrSYJgyi2RQ5ba9Y7EhCf",31047796
"1KtBJTggjijy4EEW85RqnVifyeCxGEBjtF",5488491
"17gd1QhCVYTs5qpVtdUUwBReC6eaX3XETF",3700497
"1FhrAwJ3gYte2uLF7HRZskwebLuWLmrbRE",2783180
"1GyRRTcYf8VkV4w9FvTqRZrtxiuhz6sush",1200302
"1PhwAjuqg1qKQHswhGELekqvYmKteANaAc",1189990
"1NSKkLuCFF18Av4o2Gej9Zi5rNoNiDyqK1",484309
"16MGjWYcbNG5UyBV9CYkyhPR21PB1RDvAv",20000000
"17Xf5aTNzWVPp1P9r5qobfB3zcYnKDZwsd",8000
"1NWahm8rmcRceVXKazK8Kq1p9sooHNj35s",16000
