"recipient","value"
"1EsH6b7nXETpRjXJzXY2XmfKvZbNfXJuXA",10000
"12PwcDUT3mnCY8GVfXsGkG7FDxzeA3cxx5",8118
"1EsH6b7nXETpRjXJzXY2XmfKvZbNfXJuXA",10000
"164eMRf6Ekhb7vWBfXAMMBXvyCgpkJAN7n",320000
"1Gqb7FsMBBxFgXaXRxyM7WV1imWq6XyxNb",200000
"1HD8NkP5ftjiaLTDN59zoHWu9eoETB9eto",50000
"13ppfY6X4WH97rS64RgrnnRLS5sSg2mpj1",2910882
"1EE6JtwnPPBaGMQx3UjupaPAv56ZKxb6Mn",10000
"1MUfviyzbqUTeb8trbC4GAm3DEpvQjyVWS",9000
"1KMfDE9jgx9QJVv8Pc8W8VZr5ac9LinUDK",6139450
"1Nqh5ErFuDLgt6hpp4uAMe9QYyvzqeKMf7",70000
"1GFRgdez8opfjyNEDVMZga9CHkYAbontaf",6079344
"1GWa8cJRCgK24tkbyCKMTK3p8JBWjKggoF",10000
"15fh6HxBUnnvjetRhWJ2rntxNtXq3Nuo2B",10000
"1N78MwWBdZH2eEJn37ZLdmxBYqpAc68MKg",10000
"1JAsxUBswnakMBQQksaFfU5qadjLqZ5kKo",10000
"16ti3KjNPiJzjBprxi2EJqci4KeykEe3Td",10000
"1MCwBbhNGp5hRm5rC1Aims2YFRe2SXPYKt",10000
"13AoNX8zES9Gzte9EBXVpVaHoRSMHjpRQu",10000
"1FaBLCp7t2L4rfqYJoSMiaRfy1wgrtjDag",10000
"1JZcjTgLTWy2x8M5osCZcChAvEjbnVLnU6",10000
"m-3a1af92cf248801c186efcfe165db824",7800
"m-b136642fb947767ecaa9fc05e074b909",7800
"m-ead0770b829f8cabbd696a225051abb9",7800
"m-7ea3fa9e4478115f335af9b23a409da7",7800
"m-d648554fc4c8de6259e03e631058a189",7800
"1NDazoCV7JJfs5zBy4AT7qn6vfBvsckHUk",90000
"1HnocmaEpqhdpe3BBDeuCrf1RCJbVyLTZo",1000000
"1Cf9d4qXn5hyj1qL46KXtsqCSutpua6S6v",10000
"1AEd1x6zUrKZFAi2pG8HQEeiZw3VHrF2oY",24042
"1JKKH6H8oNUvovMdBZTuzgNuwgrM6dCEb6",1993000
"d-956e5bba6de34b14e63fdf65334188cb",0
"d-956e5bba6de34b14e63fdf65334188cb",0
"1Ass8xMBHcNj1kaiWMpLCqS2jE1DGCJ6zd",1250
"1AD1HU1VaE4KBQRHTqRzDw2XZogEJ1weiZ",1250
"1LEtbQWwdZDHh7NtbbDP7E4uheQ7FCDudb",1250
"1MkqqncSwygnWEGg5wMt2T9hg79g8GE1Sb",1250
"1LUUtbSQCV9VbySQxzajSawmrMdJiXYdEi",1250
"1GQC2aEY1UGnJzm8wDatGU9TovNfjPMmxe",1250
"19CbDANURAk24VXekyvsAsq8Y6hWQhqGGH",1250
"1DNDmPoD6Eewf3nVfo4iRa7RHMZdSr7uqu",1250
"131jsuceg7dKAHkSLy6mo6r98jJDmASdj5",1250
"17mF3pJ8XSYD1bFVNzg1m4nnkVbXWVmXsV",1250
"1m2tmTmgFG49aWDY26nKgXBEruWaDPtPt",1250
"19UeesebbeccP5gBc8esW3xeNuyLz5yuEF",1000000
"m-c8cf576a355087acf0125995708ff170",7800
"1AgU8c7g7zTEJB1nBC4naX4EiyQmpha62S",5430
"15oDuDVxfoNN2EBBskrWH5f23WZ1Y6SVZ8",10000
"1dice9wVtrKZTBbAZqz1XiTmboYyvpD3t",10000
"1AFyTTSuE6EWEQJ771yneseJE9Nq884BbS",104600
"m-bae460cf4597996489e3b198e522a5ad",7800
"1QHFXR46D3ucyRXtZvAmcSqyVyAdTygLjZ",4000
"17AHKvCLKq9EdQiF18eakhvHWGVW9Uk1qJ",1000000
"191BvAwUWXZAThc6MByefnjSweomut3XVG",562921
"15nBgPpyPGhWTaQL8C6nCutQGuzompG1Yw",100000000
"16noySe8jCRfqNwUBj7L8tHy5NQ2ba7Kyy",1250
"1NCd11CD7o7jo4B8QoBKPpainq1B28cDDL",1250
"14Lnum4V3TEtx4NPKLYWGXM6Jhnv7WvDHZ",1250
"1KY4yRoVsvLHMkciVk4uYjuePTz9HLeHZN",1250
"1MxqWrbDhgqb6RPiDpsSKjuVDpyDusap1r",1250
"12tbRJ9zn54gBah6RxBjzhHypRz3QtztEn",1250
"1DmmQNkXjUGXKLLAonxCne6TBB1wcU1fdA",1250
"1H6zz2JupvNgF7QLFvtNjsd2wavya99xs7",1250
"1KcTQJqksHNjM5q89PCpUJb83NER6cYoAC",1250
"13bQKRFvbiyJfHqGCHrDd9GZM2vpNQRSeJ",1250
