"recipient","value"
"16iFfkhDJHu2TvRTW9uxRFsD1xHqjRF67p",2283
"1JwXVUknqQLRjo3fW4aZJUdFViZqTgXANg",20000
"1Mho2SQmx4wyhFRegS8hRHuWjvfR5ZyKHE",245432
"1ERm7kZmuCyMq3LpLmM7CP5JSm2vGRSD8Z",43969849
"1Gnh9i2pdhFUYMJkD3JEpdfd7ycD2xGL13",2849
"1DfeycwMzSHfgSMv4FyQ1BDhZk7t7Lqsvq",3283
"1FdUBnKDzSg84f6oJQNAvtVPiKksbaKrfF",59493
"1BYR93YhWCbbjH1g2ArG4k4U55qjQ5VjTA",75760
"12X5aCvrCE9kTvXYHrt4AYSCNTdSxh6Uz2",1980
"1HjetqqUW2rioo4ZYUok13ixPWwKhjTU6i",75242
"1WTcCTY31LWbExFrmWBTmGe77ZJFQtCga",58005
"1DFsnuajy9JdE5zCSewz2rEv26jrdCes6H",2957
"1Fwk5U5k9YXqaRErmkNVyQRoLZpGvoB8iH",4255463
"1Q5HZwag6u5cbpK8SH2gphvaPrqE4RbVKv",6363
"15JDsggyzjZwXzGkfAvgsTXyDCdUNozJyg",60511
"1Ghp3vg2wmHr3w1q39eovbRfrgGQphTqBi",3505
"1HzKmd7K9cWwSmKgand9NUk1c7zJWzz4RC",2116
"1H9YzkbTZL7z9wfZF3mADyBF2qtwQASMuW",4544
"13BNbxnwJdNnuEw9j6NiDrJbhtxUkQSRtD",1920
"193gCXXJvf8FVV86vmrTtmxmtRWm72UqXw",2312
"1FCME1MXG27G4HKmPG1sttJrTaGwZGrg1v",2818
"17LNjcJi1s97YejXrArnzQD56STpiVYHYL",2880
"13JGMPYdGxp9x3xASsJyxyY1N3TNLiwh9G",15300
"1FppEUmbB2CCbqLrqR5uMXYoRrASMNKwfa",3729
"14Ko2zRuqDXNRHX6uUgVJJ7X18eLUfdHig",2344
"15hACXTXpD65StKbtE2Wb73rj99HjsLS7V",1171758
