"recipient","value"
"3Ch1aXFeapFp7j3vERMEi6cd8sKH5vPkJ8",9000
"d-b0e5d7580ccc4dbb1dc9bbd6e22c3136",0
"1MCZZXkDnRGPXs1x1KsPZoXEM4RmRMF3Yy",2100
"3EtN2w22LLRc1pDycj6E1R52WgD2vmJ5dx",10000
"1FmWLeS543HFSrjNi12SkkuFpbpyTvaEE9",1400
"1GbbUchGcnszAZk1fqLPn2mjwGEHJZYcKA",90000
"d-a8bc669301d0d00c6543f104276c384f",0
"1QHGHgzadC5dYWziTmUDqbnGyCmcCQ3RLf",293529
"14zVVpHpkEencx4cRG8kKcm18tYm5bJ2Qj",314169
"1JsmvSLzw3gUTm9nasEJu7NuV2EgtGQGA",13840
"12HTkwyJadfrfUqEGKtyVdGaLZ3NyoNUgh",294212
"1BTxyYSD8nzmaaE32R2LFd34P78PcUVa52",529067
"1AKhXH3HH2mRwm9Me2n2JicW7CZjUaQa2f",793
"1D5aznBpbpA4UZxnDbm23MMgSiR1NXMyEW",550000
"d-9b9e054df48cbbb2cf51dbea0392d983",0
"1G8U77PmH9cY5Qad5wDdeyws1mpbrCw9oX",2730
"19KkuD1MjgRsEdup7Ui4KVCk5rEnV4Kjsm",109608
"1KwLCnzETwZ7EcfjbBSk6vXEUN6S44n1TU",50000
"1HX5Rma2vjQg1yvQJRCyDfhZDihW88uLJn",4467
"197ZTZZUfnEgKfdTPxityzP6LUeQ6hpo78",806
"1Ad9FpYYJwseR3T5c8YuNkUDj9fWrx3YUs",171245
"1BgjaboJZ4ou3rirQqWZyncMHCGndTL1p8",3844008
"1Kgo5ybDpNPYnADzCvjVdNWq7Xd2NLvrcL",66000
"1JgL4Bd3MSM7RmxFh2TeDgvNnJ87z7kjPc",73700
"15EcXPSUHXKY2UgubW1reGJPZ9wSiYj9MQ",44000
"12dvowvpGRwPcpg1m6XVykQiCFEe1HUupX",603
"1Kgo5ybDpNPYnADzCvjVdNWq7Xd2NLvrcL",66000
"18xDUQYBysZv9yuGz29MVcWou9yaTrdhxF",372264
"1G3ye1UP8Zmjzn75AN8KqNngovqtimKWXU",48547
"1APHut6tYXwKDxxdkpMdGrvL2iXrL93Cv",748
"1h8dwZWmaj4uQy37N5dzNhrL8isz91uqh",3820
"1PRQWAForvD97wQHhY6kUx55FEhmTtusY1",3413
"12odpSt6o5P8GtC1xJ1senvYciJVmsiZ5m",23277
"199qfdJ6Hp5ks1PSTmAj219L3nfUmUguRR",6309
"1KnbaArvsK7gzgmqTrBD3niWWw8foHnoXF",301567
"1NkaVzTuVThTK4pTTX6PxW94Z7TCm3f4Wi",812
"16ziR8nQTTSiyoHx4YAWcDVpabpbYHeqjP",148880
"14mQxactgTvtrgBAHq8PHmNRuxdeUUemRW",15310
"1Gk5hdwx9v1wEwFvDFARoLSw7eJUPZo8d4",36756
"1EfghASAzaHdSXTADVBWuVFzH9D16144fs",3920
"1MTqEhMPqzCXNkLdatmPv7uPo21XKV1oiv",55120
"1F4SAuWDzzdpMBFnY2zuSF2ZYQY12f31qy",146870
"1LA2HrA96F69EQ5hMgeebwbYcFQV53GWgL",71765
"13ZZZMRubBkK2yuYbkc4nycUqa1XNbVcJo",611
"1Q3RXbcRQNCUscYU5HJoRLJxfPJVC8RGrq",3200
"1EvP6VnGueTwveAMimUiP8hvjwbgTveZXW",7462
"1EHHoYjRhHghDwsqvHVJreK2oZieosq8fZ",2730
"d-3411a1218f63566d4c7bbcb00b7e3d6e",0
"d-ec13b99752da458d15e7f93be9f82a7c",0
"17xpWwU5sw3nQDdsjMHdDGHgdQaczenN5h",10632
"d-314c466516c2605abfe3ad7f4890f147",0
"d-5ee7e40572cac0568a5ba12a45798b30",0
"d-63408b2cde34750c9ab06f998042b1b9",0
"d-9ab78710b37ac37cc4554b02796ae037",0
"d-4597631735fb1506956ca652593d50ef",0
"d-a17e2a1f40dd01d181ec9c845a091ffd",0
"d-7068a1bdcd96a6cf3268cc0066f30496",0
"d-5f0b1714f99dfd10a0d49c3e11015044",0
"d-5e088ca7656610897ecd6ac33b7d8644",0
"1HRyT43NStG2Jnd8xLZSBwEmTYnLZqA2S",74754
"1H9K9D8WhiH5acXbEPr8c8h7XdKbAydWyj",16603
"19Ey8uV81egU5eBEc1n8nsmNA4NWGaVRDY",158000
"3LfmTqLTb9wgFWVZjTbZsqQcDaC4tyRVEX",315376
"1KKdnKPtU8syggNkNYKkSqfRD6iCfkJgFv",10364
"1JcHxNiyaQSp9YR1abtfzhXC3xT9Zn3S7n",1000007
